,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
379,9784083215728,1,青星学園★チームＥＹＥ－Ｓの事件ノート～クロトの一日カノジョ大作戦～,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート～クロトの一日カノジョ大作戦～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
272,9784083217180,1,青星学園★チームＥＹＥーＳの事件ノート　キヨＶＳリョウ！？　【孤高の天才】のヒミツの恋心,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥーＳの事件ノート　キヨＶＳリョウ！？　【孤高の天才】のヒミツの恋心,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
235,9784083216947,1,青星学園★チームＥＹＥ－Ｓの事件ノート～「Ｒ」を探せ！　リョウと涙のピアノコンクール～,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート～「Ｒ」を探せ！　リョウと涙のピアノコンクール～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
380,9784083214110,1,青星学園★チームＥＹＥ－Ｓの事件ノート～勝利の女神は忘れない～,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート～勝利の女神は忘れない～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
195,9784083216749,1,青星学園チームＥＹＥーＳの事件ノート　レオがピンチ！？沖縄恋愛事件の謎を解け！,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園チームＥＹＥーＳの事件ノート　レオがピンチ！？沖縄恋愛事件の謎を解け！,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
411,9784083215483,1,青星学園★チームＥＹＥ－Ｓの事件ノート～ひとりぼっちのキヨと、クリスマスの奇跡～,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート～ひとりぼっちのキヨと、クリスマスの奇跡～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
415,9784083214370,1,青星学園★チームＥＹＥ－Ｓの事件ノート～ロミオと青い星のひみつ～,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート～ロミオと青い星のひみつ～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
160,9784083216435,1,青星学園★チームＥＹＥ－Ｓの事件ノート～告白の答えは！？紫乃のホワイトデーパーティ～,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート～告白の答えは！？紫乃のホワイトデーパーティ～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
441,9784083215261,1,青星学園★チームＥＹＥ－Ｓの事件ノート～レオのドレスと、ハロウィンの黒い怪人～,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート～レオのドレスと、ハロウィンの黒い怪人～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
444,9784083214585,1,青星学園★チームＥＹＥ－Ｓの事件ノート～キヨの笑顔を取りもどせ！～,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート～キヨの笑顔を取りもどせ！～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
150,9784083216206,1,青星学園★チームＥＹＥ－Ｓの事件ノート　ねらわれた翔太！？バレンタイン大戦争,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート　ねらわれた翔太！？バレンタイン大戦争,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
141,9784083216022,1,青星学園★チームＥＹＥ－Ｓの事件ノート～ゆずの涙と、人魚のピアノの謎～,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート～ゆずの涙と、人魚のピアノの謎～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
466,9784083214813,1,青星学園★チームＥＹＥ－Ｓの事件ノート～クロトへの謎の脅迫状～,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート～クロトへの謎の脅迫状～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
474,9784083215032,1,青星学園★チームＥＹＥ－Ｓの事件ノート～翔太と星の木の約束～,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,青星学園★チームＥＹＥ－Ｓの事件ノート～翔太と星の木の約束～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
292,9784083216817,1,チームＥＹＥ－Ｓ×渚くん　七つ星遊園地のゆずと千歌,青星学園★チームＥＹＥ－Ｓの事件ノート～クロト,,チームＥＹＥ－Ｓ×渚くん　七つ星遊園地のゆずと千歌,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,相川真,集英社みらい文庫
1417,9784083215162,2,チーム怪盗ＪＥＴ　なぞの怪盗パラドックス、あらわる！？,チーム怪盗ＪＥＴ　,,チーム怪盗ＪＥＴ　なぞの怪盗パラドックス、あらわる！？,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,一ノ瀬三葉,集英社みらい文庫
1378,9784083214967,2,チーム怪盗ＪＥＴ　王子とフリョーと、カゲうすい女子！？,チーム怪盗ＪＥＴ　,,チーム怪盗ＪＥＴ　王子とフリョーと、カゲうすい女子！？,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,一ノ瀬三葉,集英社みらい文庫
1346,9784083215407,2,チーム怪盗ＪＥＴ　夏祭り、思い出の男の子はだれ！？,チーム怪盗ＪＥＴ　,,チーム怪盗ＪＥＴ　夏祭り、思い出の男の子はだれ！？,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,一ノ瀬三葉,集英社みらい文庫
3625,9784046317339,3,ハルチカ　初恋ソムリエ,ハルチカ　,,ハルチカ　初恋ソムリエ,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,初野晴,角川つばさ文庫
3255,9784046316790,3,ハルチカ　退出ゲーム,ハルチカ　,,ハルチカ　退出ゲーム,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,初野晴,角川つばさ文庫
2740,9784083215049,4,僕らのハチャメチャ課外授業　一発逆転お宝バトル　帰ってきた超危険人物！,僕らのハチャメチャ課外授業　一発逆転お宝バトル,,僕らのハチャメチャ課外授業　一発逆転お宝バトル　帰ってきた超危険人物！,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,志田もちたろう,集英社みらい文庫
2832,9784083214820,4,僕らのハチャメチャ課外授業　一発逆転お宝バトル,僕らのハチャメチャ課外授業　一発逆転お宝バトル,,僕らのハチャメチャ課外授業　一発逆転お宝バトル,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,志田もちたろう,集英社みらい文庫
1729,9784092313415,5,転校生　ポチ崎ポチ夫,,,転校生　ポチ崎ポチ夫,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,田丸雅智,小学館ジュニア文庫
4279,9784834019490,6,名医ポポタムの話,,,名医ポポタムの話,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,レオポルド・ショ,福音館文庫
2536,9784062852005,7,名探偵ホームズ　緋色の研究,名探偵ホームズ　最後の,,名探偵ホームズ　緋色の研究,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3598,9784062852630,7,名探偵ホームズ　金縁の鼻めがね,名探偵ホームズ　最後の,,名探偵ホームズ　金縁の鼻めがね,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3394,9784062852265,7,名探偵ホームズ　最後の事件,名探偵ホームズ　最後の,,名探偵ホームズ　最後の事件,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3197,9784062851800,7,名探偵ホームズ　まだらのひも,名探偵ホームズ　最後の,,名探偵ホームズ　まだらのひも,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3182,9784062852180,7,名探偵ホームズ　ぶな屋敷のなぞ,名探偵ホームズ　最後の,,名探偵ホームズ　ぶな屋敷のなぞ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3395,9784062852517,7,名探偵ホームズ　六つのナポレオン像,名探偵ホームズ　最後の,,名探偵ホームズ　六つのナポレオン像,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
1887,9784062851794,7,名探偵ホームズ　赤毛組合,名探偵ホームズ　最後の,,名探偵ホームズ　赤毛組合,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
2730,9784062851893,7,名探偵ホームズ　バスカビル家の犬,名探偵ホームズ　最後の,,名探偵ホームズ　バスカビル家の犬,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3411,9784062852692,7,名探偵ホームズ　サセックスの吸血鬼,名探偵ホームズ　最後の,,名探偵ホームズ　サセックスの吸血鬼,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
2830,9784062851947,7,名探偵ホームズ　消えた花むこ,名探偵ホームズ　最後の,,名探偵ホームズ　消えた花むこ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3314,9784062852357,7,名探偵ホームズ　恐怖の谷,名探偵ホームズ　最後の,,名探偵ホームズ　恐怖の谷,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3359,9784062852562,7,名探偵ホームズ　悪魔の足,名探偵ホームズ　最後の,,名探偵ホームズ　悪魔の足,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
2745,9784062852050,7,名探偵ホームズ　四つの署名,名探偵ホームズ　最後の,,名探偵ホームズ　四つの署名,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3316,9784062852463,7,名探偵ホームズ　囚人船の秘密,名探偵ホームズ　最後の,,名探偵ホームズ　囚人船の秘密,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3508,9784062852746,7,名探偵ホームズ　最後のあいさつ,名探偵ホームズ　最後の,,名探偵ホームズ　最後のあいさつ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3106,9784062852401,7,名探偵ホームズ　三年後の生還,名探偵ホームズ　最後の,,名探偵ホームズ　三年後の生還,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,コナン・ドイル,講談社青い鳥文庫
3412,9784046312716,8,三毛猫ホームズの事件日記,三毛猫ホームズの,,三毛猫ホームズの事件日記,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,赤川次郎,角川つばさ文庫
1321,9784065213513,8,ホームズの娘,三毛猫ホームズの,,ホームズの娘,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,横関大,講談社青い鳥文庫
3428,9784046312495,8,三毛猫ホームズの推理日記,三毛猫ホームズの,,三毛猫ホームズの推理日記,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,赤川次郎,角川つばさ文庫
3120,9784046312303,8,三毛猫ホームズの探偵日記,三毛猫ホームズの,,三毛猫ホームズの探偵日記,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,赤川次郎,角川つばさ文庫
1353,9784591172445,8,ホームズ　世界の名探偵２,三毛猫ホームズの,,ホームズ　世界の名探偵２,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,コナン・ドイル,ポプラキミノベル　名作
567,9784083214714,9,生き残りゲーム　ラストサバイバル　宝をさがせ！サバイバルトレジャー,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　宝をさがせ！サバイバルトレジャー,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
550,9784083215322,9,生き残りゲーム　ラストサバイバル　その手をはなすな！　サバイバルペア,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　その手をはなすな！　サバイバルペア,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
597,9784083215094,9,生き残りゲーム　ラストサバイバル　自分に負けるな！　サバイバル運動会,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　自分に負けるな！　サバイバル運動会,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
538,9784083214516,9,生き残りゲーム　ラストサバイバル　かけめぐれ無人島！サバイバルアドベンチャー,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　かけめぐれ無人島！サバイバルアドベンチャー,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
507,9784083217074,9,生き残りゲーム　ラストサバイバル　最後まで生き残れ！サバイバルゾンビ鬼リアル,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　最後まで生き残れ！サバイバルゾンビ鬼リアル,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
489,9784083214875,9,生き残りゲーム　ラストサバイバル　絶叫禁止！　サバイバル病院,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　絶叫禁止！　サバイバル病院,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
449,9784083214257,9,生き残りゲーム　ラストサバイバル　つかまってはいけないサバイバル鬼ごっこ,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　つかまってはいけないサバイバル鬼ごっこ,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
445,9784083214004,9,生き残りゲーム　ラストサバイバル　でてはいけないサバイバル教室,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　でてはいけないサバイバル教室,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
405,9784083215605,9,生き残りゲーム　ラストサバイバル　チームで勝ち抜け！サバイバルウォーター,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　チームで勝ち抜け！サバイバルウォーター,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
393,9784083213762,9,生き残りゲーム　ラストサバイバル　最後に歩けるのはだれだ！？,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　最後に歩けるのはだれだ！？,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
1157,9784083217340,9,生き残りゲーム　ラストサバイバル　しくまれた入学！　サバイバル中学校,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　しくまれた入学！　サバイバル中学校,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
376,9784083216541,9,生き残りゲームラストサバイバル　あの日の誓いをかみしめて！サバイバルフードファイト,生き残りゲーム　ラストサバイバル　最後,,生き残りゲームラストサバイバル　あの日の誓いをかみしめて！サバイバルフードファイト,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
258,9784083216084,9,生き残りゲーム　ラストサバイバル　新たなチームと登れ！　サバイバルマウンテン,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　新たなチームと登れ！　サバイバルマウンテン,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
261,9784083216282,9,生き残りゲーム　ラストサバイバル　桜のように舞いちる！サバイバルサムライ,生き残りゲーム　ラストサバイバル　最後,,生き残りゲーム　ラストサバイバル　桜のように舞いちる！サバイバルサムライ,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
