,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
346,9784062853088,1,トキメキ・図書館　「図書館登校」の女の子？,トキメキ・図書館　トキメキ,２,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
463,9784062854245,1,トキメキ・図書館　トキメキ・修学旅行！,トキメキ・図書館　トキメキ,７,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
480,9784062854610,1,トキメキ・図書館　一年ぶりの仲直り,トキメキ・図書館　トキメキ,９,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
258,9784062852814,1,トキメキ・図書館　二人のそらとわたし,トキメキ・図書館　トキメキ,１,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
547,9784062854474,1,トキメキ・図書館　ドキドキ★校内キャンプ！,トキメキ・図書館　トキメキ,８,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
453,9784062853644,1,トキメキ・図書館　転校生のひみつ,トキメキ・図書館　トキメキ,５,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
412,9784062853439,1,トキメキ・図書館　十八年目の卒業式,トキメキ・図書館　トキメキ,４,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
442,9784062853934,1,トキメキ・図書館　絵の中の女の人,トキメキ・図書館　トキメキ,６,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
409,9784062856751,1,トキメキ・図書館　トキメキのとき,トキメキ・図書館　トキメキ,１５,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
388,9784062853286,2,トキメキ・図書館　霊能少女萌！？,トキメキ・図書館　みんな,３,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
455,9784062855594,2,トキメキ・図書館　みんなが主役！,トキメキ・図書館　みんな,１２,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
459,9784062856331,2,トキメキ・図書館　みんなだれかに恋してる,トキメキ・図書館　みんな,１４,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
871,9784069487750,2,トキメキ図書館セット（全１５巻セット）,トキメキ・図書館　みんな,,トキメキ図書館セット（全１５巻セット）,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
467,9784062855969,2,トキメキ　図書館　クリスマスに会いたい,トキメキ・図書館　みんな,１３,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
470,9784062855303,2,トキメキ・図書館　恋の大バトル！？,トキメキ・図書館　みんな,１１,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
479,9784062854931,2,トキメキ・図書館　別荘にご招待？,トキメキ・図書館　みんな,１０,トキメキ・図書館,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,服部千春,講談社青い鳥文庫
718,9784062852708,3,新・妖界ナビ・ルナ　瑠璃色の残像,新・妖界ナビ・ルナ　,６,新・妖界ナビ・ルナ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,池田美代子,講談社青い鳥文庫
