,JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM,cid
0,9784083216039,劇場版　鬼滅の刃　無限列車編　ノベライズ,,劇場版　鬼滅の刃　無限列車編　ノベライズ,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,矢島綾,集英社みらい文庫,290
1,9784083215957,鬼滅の刃　ノベライズ～きょうだいの絆と鬼殺隊編～,,鬼滅の刃　ノベライズ～きょうだいの絆と鬼殺隊編～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,松田朱夏,集英社みらい文庫,318
2,9784083215858,鬼滅の刃　ノベライズ～炭治郎と禰豆子、運命のはじまり編～,,鬼滅の刃　ノベライズ～炭治郎と禰豆子、運命のはじまり編～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,松田朱夏,集英社みらい文庫,124
3,9784092313293,名探偵コナン　緋色の弾丸,,名探偵コナン　緋色の弾丸,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,水稀しま,小学館ジュニア文庫,359
4,9784046318404,四つ子ぐらし　ひみつの姉妹生活、スタート！,１,四つ子ぐらし,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,ひのひまり,角川つばさ文庫,318
5,9784046320094,四つ子ぐらし　嵐の日は大さわぎ！,７,四つ子ぐらし,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,ひのひまり,角川つばさ文庫,242
6,9784046320735,星のカービィ　カービィファイターズ　宿命のライバルたち！！,,星のカービィ　カービィファイターズ　宿命のライバルたち！！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,高瀬美恵,角川つばさ文庫,359
7,9784083215780,逃走中　オリジナルストーリー　迫るハンター＆パンダ！？　中華街をかけぬけろ！,,逃走中　オリジナルストーリー　迫るハンター＆パンダ！？　中華街をかけぬけろ！,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,逃走中,集英社みらい文庫,290
8,9784001141276,モモ,,モモ,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ミヒャエル・エンデ,岩波少年文庫,124
9,9784092313460,小説　ＳＴＡＮＤ　ＢＹ　ＭＥ　ドラえもん,２,小説　ＳＴＡＮＤ　ＢＹ　ＭＥ　ドラえもん,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤子・Ｆ・不二雄,小学館ジュニア文庫,242
10,9784083215308,逃走中　オリジナルストーリー　参加者は小学生！？渋谷の街を逃げまくれ！,,逃走中　オリジナルストーリー　参加者は小学生！？渋谷の街を逃げまくれ！,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,小川彗,集英社みらい文庫,318
