,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
138,9784046314697,1,ジュニア　空想科学読本,ジュニア　空想科学読本,３,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
52,9784046313256,1,ジュニア　空想科学読本,ジュニア　空想科学読本,,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
336,9784046317254,1,ジュニア　空想科学読本,ジュニア　空想科学読本,１１,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
335,9784046317582,1,ジュニア　空想科学読本,ジュニア　空想科学読本,１２,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
58,9784046320193,1,ジュニア　空想科学読本,ジュニア　空想科学読本,２０,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
59,9784046320216,1,ジュニア　空想科学読本,ジュニア　空想科学読本,２２,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
62,9784046320209,1,ジュニア　空想科学読本,ジュニア　空想科学読本,２１,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
317,9784046317827,1,ジュニア　空想科学読本,ジュニア　空想科学読本,１３,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
140,9784046321183,1,ジュニア　空想科学読本,ジュニア　空想科学読本,２４,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
309,9784046316523,1,ジュニア　空想科学読本,ジュニア　空想科学読本,８,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
308,9784046318251,1,ジュニア　空想科学読本,ジュニア　空想科学読本,１４,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
303,9784046315946,1,ジュニア　空想科学読本,ジュニア　空想科学読本,７,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
300,9784046316660,1,ジュニア　空想科学読本,ジュニア　空想科学読本,９,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
280,9784046319043,1,ジュニア　空想科学読本,ジュニア　空想科学読本,１６,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
271,9784046315427,1,ジュニア　空想科学読本,ジュニア　空想科学読本,５,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
90,9784046319838,1,ジュニア　空想科学読本,ジュニア　空想科学読本,１９,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
81,9784046321176,1,ジュニア　空想科学読本,ジュニア　空想科学読本,２３,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
267,9784046315663,1,ジュニア　空想科学読本,ジュニア　空想科学読本,６,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
157,9784046319371,1,ジュニア　空想科学読本,ジュニア　空想科学読本,１８,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
201,9784046315021,1,ジュニア　空想科学読本,ジュニア　空想科学読本,４,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
221,9784046319364,1,ジュニア　空想科学読本,ジュニア　空想科学読本,１７,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
261,9784046316929,1,ジュニア　空想科学読本,ジュニア　空想科学読本,１０,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
264,9784046318657,1,ジュニア　空想科学読本,ジュニア　空想科学読本,１５,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
101,9784046314260,1,ジュニア　空想科学読本,ジュニア　空想科学読本,２,ジュニア　空想科学読本,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳田理科雄,角川つばさ文庫
725,9784046316035,2,逆転裁判　逆転アイドル,逆転裁判　逆転,,逆転裁判　逆転アイドル,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,高瀬美恵,角川つばさ文庫
682,9784046316783,2,逆転裁判　逆転空港,逆転裁判　逆転,,逆転裁判　逆転空港,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,高瀬美恵,角川つばさ文庫
460,9784046315465,3,オンライン！　お菓子なお化け屋敷と邪魔ジシャン,オンライン！　,８,オンライン！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,雨蛙ミドリ,角川つばさ文庫
458,9784046317261,3,オンライン！　ひっつきお化けウツリーナと管理者デリート,オンライン！　,１３,オンライン！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,雨蛙ミドリ,角川つばさ文庫
447,9784046314383,4,オンライン！　スリーセブンマンと水魔人デロリ,オンライン！　ス,５,オンライン！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,雨蛙ミドリ,角川つばさ文庫
466,9784046315700,4,オンライン！　スネークブックロとペポギン魔王,オンライン！　ス,１０,オンライン！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,雨蛙ミドリ,角川つばさ文庫
421,9784046318862,4,オンライン！　タブーカードと呪術師シガ,オンライン！　ス,１８,オンライン！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,雨蛙ミドリ,角川つばさ文庫
461,9784046315533,4,オンライン！　ナイトメアゲームセンターと豪腕ズルイゾー,オンライン！　ス,９,オンライン！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,雨蛙ミドリ,角川つばさ文庫
