,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
177,9784036517909,1,レ・ミゼラブル　下,レ・ミゼラブル　,,レ・ミゼラブル　下,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ヴィクトル・ユーゴー,偕成社文庫
166,9784036517800,1,レ・ミゼラブル　中,レ・ミゼラブル　,,レ・ミゼラブル　中,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ヴィクトル・ユーゴー,偕成社文庫
131,9784036517701,1,レ・ミゼラブル（上）,レ・ミゼラブル　,,レ・ミゼラブル,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ヴィクトル・ユーゴー,偕成社文庫
67,9784834006230,2,ロビンソン・クルーソー,・,,ロビンソン・クルーソー,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ダニエル・デフォー,福音館文庫
29,9784863892514,2,クィディッチ今昔　ケニルワージー・ウィスプ,・,,クィディッチ今昔　ケニルワージー・ウィスプ,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,Ｊ・Ｋ・ローリング,静山社ペガサス文庫
88,9784036527908,3,伝記ヘレン・ケラー,,,伝記ヘレン・ケラー,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,村岡花子,偕成社文庫
418,9784036525805,4,８１３　アルセーヌ・ルパン,８１３　アルセーヌ・ルパン,,８１３　アルセーヌ・ルパン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,モーリス・ルブラン,偕成社文庫
390,9784036525904,4,続・８１３　アルセーヌ・ルパン,８１３　アルセーヌ・ルパン,,続・８１３　アルセーヌ・ルパン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,モーリス・ルブラン,偕成社文庫
72,9784036514007,5,ルパン対ホームズ　アルセーヌ＝ルパン・シリーズ,　アルセーヌ＝ルパン・シリーズ,,ルパン対ホームズ　アルセーヌ＝ルパン・シリーズ,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,モーリス・ルブラン,偕成社文庫
101,9784036513901,5,怪盗紳士ルパン　アルセーヌ＝ルパン・シリーズ,　アルセーヌ＝ルパン・シリーズ,,怪盗紳士ルパン　アルセーヌ＝ルパン・シリーズ,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,モーリス・ルブラン,偕成社文庫
41,9784035500902,6,大どろぼうホッツェンプロッツ三たびあらわる,大どろぼうホッツェンプロッツ,,大どろぼうホッツェンプロッツ三たびあらわる,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,オットフリ－ト・プロイスラ－,偕成社文庫
25,9784035500704,6,大どろぼうホッツェンプロッツ,大どろぼうホッツェンプロッツ,,大どろぼうホッツェンプロッツ,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,オットフリ－ト・プロイスラ－,偕成社文庫
35,9784035500803,6,大どろぼうホッツェンプロッツ　ふたたびあらわる,大どろぼうホッツェンプロッツ,,大どろぼうホッツェンプロッツ　ふたたびあらわる,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,オットフリート・プロイスラー,偕成社文庫
364,9784035508601,7,少年探偵ブラウン,少年探偵ブラウン,４,少年探偵ブラウン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ドナルド・ソボル,偕成社文庫
373,9784035503606,7,少年探偵ブラウン,少年探偵ブラウン,２,少年探偵ブラウン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ドナルド・Ｊ・ソボル,偕成社文庫
239,9784035503507,7,少年探偵ブラウン,少年探偵ブラウン,１,少年探偵ブラウン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ドナルド・Ｊ・ソボル,偕成社文庫
357,9784035508700,7,少年探偵ブラウン,少年探偵ブラウン,５,少年探偵ブラウン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ドナルド・ソボル,偕成社文庫
412,9784035503705,7,少年たんていブラウン,少年探偵ブラウン,３,少年たんていブラウン,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ドナルド・Ｊ・ソボル,偕成社文庫
55,9784036521203,8,吾輩は猫である　上,吾輩は猫である　,,吾輩は猫である,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,夏目漱石,偕成社文庫
62,9784036521302,8,吾輩は猫である　下,吾輩は猫である　,,吾輩は猫である,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,夏目漱石,偕成社文庫
228,9784863894242,9,猫のダヤン　ダヤンとジタン,猫のダヤン　ダヤンと,２,猫のダヤン,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,池田あきこ,静山社ペガサス文庫
153,9784863894235,9,猫のダヤン　ダヤン、わちふぃーるどへ,猫のダヤン　ダヤンと,１,猫のダヤン,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,池田あきこ,静山社ペガサス文庫
215,9784863894273,9,猫のダヤン　ダヤンとハロウィーンの戦い,猫のダヤン　ダヤンと,５,猫のダヤン,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,池田あきこ,静山社ペガサス文庫
212,9784863894280,9,猫のダヤン　ダヤンと王の塔,猫のダヤン　ダヤンと,６,猫のダヤン,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,池田あきこ,静山社ペガサス文庫
250,9784863894259,9,猫のダヤン　ダヤンと時の魔法,猫のダヤン　ダヤンと,３,猫のダヤン,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,池田あきこ,静山社ペガサス文庫
262,9784863894266,9,猫のダヤン　ダヤンとタシルの王子,猫のダヤン　ダヤンと,４,猫のダヤン,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,池田あきこ,静山社ペガサス文庫
264,9784863894297,9,猫のダヤン　ダヤン、タシルに帰る,猫のダヤン　ダヤンと,７,猫のダヤン,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,池田あきこ,静山社ペガサス文庫
317,9784036518609,10,アンの青春　上,アンの青春　,,アンの青春,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ルーシー・モード・モンゴメリ,偕成社文庫
301,9784036518708,10,アンの青春　下,アンの青春　,,アンの青春,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ルーシー・モード・モンゴメリ,偕成社文庫
452,9784036514403,10,ポリアンナの青春,アンの青春　,,ポリアンナの青春,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,エレナ・ポーター,偕成社文庫
295,9784035511908,10,ポアンアンのにおい,アンの青春　,,ポアンアンのにおい,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,岡田淳,偕成社文庫
