JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM
9784046322050,サキヨミ！　トラブルまみれのデート作戦！,８,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,七海まち,0000004,ＫＡＤＯＫＡＷＡ,43182126,サキヨミ！,角川つばさ文庫,20230208,2659,,
9784410107276,チャート式解法と演習数学２＋Ｂ　新課程,,1076,19,0031,0011,0011,書籍,学習参考書,高校学参,数学,数学Ⅱ・Ｂ,チャート研究所,0000410,数研出版,43371515,チャート式解法と演習数学２＋Ｂ　新課程,,20221025,1656,,
9784892880865,北辰のかこもん　数学　２０２２年度中３北辰テスト過去問題集,,1076,19,0021,0005,0011,書籍,学習参考書,中学学参,基礎学習,基礎学習問題集,ｍｉｏ,0089288,北辰図書出版,43412911,北辰のかこもん　数学　２０２２年度中３北辰テスト過去問題集,,20230322,2269,,
9784046321831,ぜったいバレちゃいけません！！！　ハッピーエンドはゆずれない！,６,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,水無仙丸,0000004,ＫＡＤＯＫＡＷＡ,43210129,ぜったいバレちゃいけません！！！,角川つばさ文庫,20221013,1534,,
9784065301821,氷の上のプリンセス　シニア編,３,1076,16,0055,0001,0011,書籍,児童書,児童文庫,児童文庫,青い鳥文庫,風野潮,0000006,講談社,43308401,氷の上のプリンセス　シニア編,講談社青い鳥文庫,20221214,1433,,
9784046321879,スイッチ！　大キライなはずなのに！？,１１,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,深海ゆずは,0000004,ＫＡＤＯＫＡＷＡ,42943339,スイッチ！,角川つばさ文庫,20221109,3376,,
9784813780755,イケメン王子×４は、地味子ちゃんを溺愛したい。　ヒミツの甘々カップル誕生編,,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,ゆいっと,0008137,スターツ出版,43379328,イケメン王子×４は、地味子ちゃんを溺愛したい。　ヒミツの甘々カップル誕生編,野いちごジュニア文庫,20221220,1179,,
9784791631612,頭がよくなる！　はじめての寝るまえ１分おんどく,,1076,16,0011,0002,0001,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,加藤俊徳,0007916,西東社,43408299,頭がよくなる！　はじめての寝るまえ１分おんどく,,20230405,2602,,
9784813780854,ウタイテ！　目指せ、ファンイベント開催！　ヒミツの特訓は溺愛のはじまり,４,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,＊あいら＊,0008137,スターツ出版,43313006,ウタイテ！,野いちごジュニア文庫,20230320,6136,,
9784046322203,サバイバー！！　アテンション、敵のアジトから生還せよ！,５,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,あさばみゆき,0000004,ＫＡＤＯＫＡＷＡ,43261596,サバイバー！！,角川つばさ文庫,20230412,1626,,
