JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM
9784023322226,徳川家康へタイムワープ　？！歴史漫画タイムワープシリーズ,,1076,16,0071,0005,0091,書籍,児童書,学習百科,学習漫画,その他学習漫画,ＴＡＫ．Ｂｒｏ,0000002,朝日新聞出版,43376613,徳川家康へタイムワープ　？！歴史漫画タイムワープシリーズ,歴史人物ＢＯＯＫ,20221118,1515,歴史漫画タイムワープシリーズ,歴史漫画タイムワープシリーズ
9784023322141,トンネルのサバイバル,,1076,16,0071,0005,0021,書籍,児童書,学習百科,学習漫画,サバイバルシリーズ,パク・ソンイ,0000002,朝日新聞出版,43366736,トンネルのサバイバル,かがくるＢＯＯＫ　科学漫画サバイバルシリーズ　８０,20221007,17125,科学漫画サバイバルシリーズ８０,サバイバルシリーズ
9784023322158,テーマパークのサバイバル,,1076,16,0071,0005,0021,書籍,児童書,学習百科,学習漫画,サバイバルシリーズ,ポドアルチング,0000002,朝日新聞出版,43380283,テーマパークのサバイバル,かがくるＢＯＯＫ　科学漫画サバイバルシリーズ　８１,20221207,23076,科学漫画サバイバルシリーズ８１,サバイバルシリーズ
9784023333772,きらきら　ぴかぴか,,1076,16,0011,0002,0001,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,瀧靖之,0000002,朝日新聞出版,43369774,きらきら　ぴかぴか,脳科学にもとづいた知育絵本,20221020,7306,脳科学にもとづいた知育絵本,脳科学にもとづいた知育絵本
9784023322080,実験対決　火山の対決　学校勝ちぬき戦　実験対決シリーズ　明日は実験王,４３,1076,16,0071,0005,0021,書籍,児童書,学習百科,学習漫画,サバイバルシリーズ,ストーリーａ．,0000002,朝日新聞出版,42202145,実験対決,かがくるＢＯＯＫ,20221118,1000,,サバイバルシリーズ
9784031271905,すうじのかくれんぼ,,1076,16,0015,0001,0021,書籍,児童書,しかけ絵本,しかけ絵本,しかけ絵本,いしかわこうじ,0000003,偕成社,43370935,すうじのかくれんぼ,あっ！とおどろくしかけえほん,20221205,1172,,あっ！とおどろくしかけえほん
9784041126547,どっちが強い！？Ａ　ロボットで入学試験！？,１,1076,16,0071,0005,0031,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,スライウム,0000004,ＫＡＤＯＫＡＷＡ,43369333,どっちが強い！？Ａ,,20221116,3519,,どっちが強い！？シリーズ
9784041127742,どっちが強い！？ガチンコ動物オリンピック編　なんでもＮｏ．１決定戦,,1076,16,0071,0005,0031,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,ブラックインクチーム,0000004,ＫＡＤＯＫＡＷＡ,43369402,どっちが強い！？ガチンコ動物オリンピック編　なんでもＮｏ．１決定戦,角川まんが学習シリーズ,20221130,9083,,どっちが強い！？シリーズ
9784041122914,どっちが強い！？　ピットブルｖｓオオヤマネコ　豪華客船でイヌネコ対決,,1076,16,0071,0005,0031,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,ジノ,0000004,ＫＡＤＯＫＡＷＡ,43377192,どっちが強い！？　ピットブルｖｓオオヤマネコ　豪華客船でイヌネコ対決,角川まんが学習シリーズ,20221214,9239,,どっちが強い！？シリーズ
9784041126554,どっちが強い！？Ａ　無人島でロボバトル！,２,1076,16,0071,0005,0031,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,レッドコード,0000004,ＫＡＤＯＫＡＷＡ,43369333,どっちが強い！？Ａ,,20221116,2906,,どっちが強い！？シリーズ
9784049146707,すみっコぐらしいっしょにクロスワード,,1076,16,0021,0001,0051,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,キャラぱふぇ編集部,0000004,ＫＡＤＯＫＡＷＡ,43372072,すみっコぐらしいっしょにクロスワード,キャラぱふぇブックス,20221130,1755,,すみっコぐらし
9784052055966,正解のない問題集　道徳編,,1076,16,0071,0001,0007,書籍,児童書,学習百科,学習百科,道徳・教養,池上彰,0000005,学研プラス,43369058,正解のない問題集　道徳編,新時代の教養,20221117,3281,新時代の教養,新時代の教養
9784052055881,こどもずかん　のりもの７７７　英語つき　しゃしんバージョン,,1076,16,0011,0003,0001,書籍,児童書,幼児絵本,知育絵本,知育絵本,デイブ・テルキ,0000005,学研プラス,43369056,こどもずかん　のりもの７７７　英語つき　しゃしんバージョン,こどもずかん,20221125,5125,こどもずかん,こどもずかん
9784052056383,めくってばあ！,,1076,16,0011,0002,0001,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,いりやまさとし,0000005,学研プラス,43369406,めくってばあ！,ＮＥＷぴよちゃんとあそぼ！,20221104,2288,ＮＥＷぴよちゃんとあそぼ！,ＮＥＷぴよちゃんとあそぼ！
