,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM,SERIESNM_shoshi,SERIESNM_sikiriban,SERIESNM_sosho,SERIESNM_sublabel,seriesnm_candidate_shoshi,seriesnm_candidate_sikiriban,seriesnm_candidate_sosho,seriesnm_candidate_sublabel
0,9784046322050,サキヨミ！　トラブルまみれのデート作戦！,８,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,七海まち,4,ＫＡＤＯＫＡＷＡ,43182126,サキヨミ！,角川つばさ文庫,20230208,2659,,,サキヨミ！,,,,サキヨミ！,角川まんが学習シリーズ,角川まんが学習シリーズ,
1,9784410107276,チャート式解法と演習数学２＋Ｂ　新課程,,1076,19,31,11,11,書籍,学習参考書,高校学参,数学,数学Ⅱ・Ｂ,チャート研究所,410,数研出版,43371515,チャート式解法と演習数学２＋Ｂ　新課程,,20221025,1656,,,,,,,チャート式問題集シリーズ,,,
2,9784892880865,北辰のかこもん　数学　２０２２年度中３北辰テスト過去問題集,,1076,19,21,5,11,書籍,学習参考書,中学学参,基礎学習,基礎学習問題集,ｍｉｏ,89288,北辰図書出版,43412911,北辰のかこもん　数学　２０２２年度中３北辰テスト過去問題集,,20230322,2269,,,,,,,,,,
3,9784046321831,ぜったいバレちゃいけません！！！　ハッピーエンドはゆずれない！,６,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,水無仙丸,4,ＫＡＤＯＫＡＷＡ,43210129,ぜったいバレちゃいけません！！！,角川つばさ文庫,20221013,1534,,,ぜったいバレちゃいけません！！！,,,,ぜったいバレちゃいけません！！！,角川まんが学習シリーズ,角川まんが学習シリーズ,
4,9784065301821,氷の上のプリンセス　シニア編,３,1076,16,55,1,11,書籍,児童書,児童文庫,児童文庫,青い鳥文庫,風野潮,6,講談社,43308401,氷の上のプリンセス　シニア編,講談社青い鳥文庫,20221214,1433,,,氷の上のプリンセス,,,,氷の上のプリンセス,ディズニーえほん文庫,講談社アニメ絵本,
5,9784046321879,スイッチ！　大キライなはずなのに！？,１１,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,深海ゆずは,4,ＫＡＤＯＫＡＷＡ,42943339,スイッチ！,角川つばさ文庫,20221109,3376,,,スイッチ！,,,,スイッチ！,角川まんが学習シリーズ,角川まんが学習シリーズ,
6,9784813780755,イケメン王子×４は、地味子ちゃんを溺愛したい。　ヒミツの甘々カップル誕生編,,1076,16,55,1,91,書籍,児童書,児童文庫,児童文庫,その他児童文庫,ゆいっと,8137,スターツ出版,43379328,イケメン王子×４は、地味子ちゃんを溺愛したい。　ヒミツの甘々カップル誕生編,野いちごジュニア文庫,20221220,1179,,,,,,,この恋は、ぜったいヒミツ。,,,
7,9784791631612,頭がよくなる！　はじめての寝るまえ１分おんどく,,1076,16,11,2,1,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,加藤俊徳,7916,西東社,43408299,頭がよくなる！　はじめての寝るまえ１分おんどく,,20230405,2602,,,,,,,おんなのこのめいさくだいすき全２５話,ミラクルきょうふ！怖いストーリーＭＥＧＡ,,
8,9784813780854,ウタイテ！　目指せ、ファンイベント開催！　ヒミツの特訓は溺愛のはじまり,４,1076,16,55,1,91,書籍,児童書,児童文庫,児童文庫,その他児童文庫,＊あいら＊,8137,スターツ出版,43313006,ウタイテ！,野いちごジュニア文庫,20230320,6136,,,ウタイテ！,,,,ウタイテ！,,,
9,9784046322203,サバイバー！！　アテンション、敵のアジトから生還せよ！,５,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,あさばみゆき,4,ＫＡＤＯＫＡＷＡ,43261596,サバイバー！！,角川つばさ文庫,20230412,1626,,,サバイバー！！,,,,サバイバー！！,角川まんが学習シリーズ,角川まんが学習シリーズ,
