JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SERIESNM
9784046322173,ジュニア　空想科学読本,２５,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,柳田理科雄,0000004,ＫＡＤＯＫＡＷＡ,42475688,ジュニア　空想科学読本,角川つばさ文庫,20221214,2628,
9784041125694,きょうりゅうかくれんぼ,,1076,16,0007,0004,0001,書籍,児童書,絵本,さがしもの絵本,さがしもの絵本,聞かせ屋。けいたろう,0000004,ＫＡＤＯＫＡＷＡ,43360531,きょうりゅうかくれんぼ,,20221004,8029,
9784577051061,ブンブーン！バイキンメカ,,1076,16,0021,0001,0001,書籍,児童書,キャラクター絵本,キャラクター絵本,アンパンマン,やなせたかし,0000577,フレーベル館,43376238,ブンブーン！バイキンメカ,［バラエティ］　アンパンマンタイヤえほん,20221021,1078,アンパンマンタイヤえほん
9784577051054,ゴーゴー！アンパンマンごう,,1076,16,0021,0001,0001,書籍,児童書,キャラクター絵本,キャラクター絵本,アンパンマン,やなせたかし,0000577,フレーベル館,43365400,アンパンマンタイヤえほん,［バラエティ］　アンパンマンタイヤえほん,20221021,2108,アンパンマンタイヤえほん
9784865492873,はたらくくるま,,1076,16,0011,0002,0001,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,伊藤アキラ,0086549,ひさかたチャイルド,43373876,はたらくくるま,,20221215,1061,
9784092592117,ドラえもん探究ワールド　ねむりと夢のふしぎ,,1076,16,0071,0001,0021,書籍,児童書,学習百科,学習百科,ドラえもんの学習シリ－ズ,藤子・Ｆ・不二雄,0000009,小学館,43383706,ドラえもん探究ワールド　ねむりと夢のふしぎ,ビッグ・コロタン,20221207,4103,ビッグコロタン
9784097353485,ぷしゅぷしゅの　こんにちは！,,1076,16,0021,0001,0051,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,テレビ東京,0000009,小学館,43380285,ぷしゅぷしゅの　こんにちは！,ゆびにんぎょうえほん　シナぷしゅ,20221207,2381,シナぷしゅ
9784097353492,ワンワンの　パンやさん,,1076,16,0021,0001,0051,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,ＮＨＫエデュケーショナル,0000009,小学館,43380286,ワンワンの　パンやさん,ゆびにんぎょうえほん　いないいないばあっ！,20221207,1598,ゆびにんぎょうえほん　いないいないばあっ！
9784591175651,トミカコレクション　２０２３,,1076,16,0021,0001,0055,書籍,児童書,キャラクター絵本,キャラクター絵本,超ひみつゲット,タカラトミー,0000591,ポプラ社,43380018,トミカコレクション　２０２３,超ひみつゲット！,20221207,3380,超ひみつゲット
9784591175798,ないしょの未来日記　恋愛ギライな私とフキゲンな王子様,１,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,高杉六花,0000591,ポプラ社,43379932,ないしょの未来日記　恋愛ギライな私とフキゲンな王子様,ポプラキミノベル　創作,20221207,1396,
9784591175644,きかんしゃトーマス　キャラクターずかん,,1076,16,0021,0001,0055,書籍,児童書,キャラクター絵本,キャラクター絵本,超ひみつゲット,,0000591,ポプラ社,43380017,きかんしゃトーマス　キャラクターずかん,超ひみつゲット！,20221207,2851,超ひみつゲット
9784591175699,ティンクル・セボンスター　アンナと宝石の国の女王様　初回配本限定きらきらペンダントつき,８,1076,16,0041,0005,0005,書籍,児童書,読み物,読み物,低学年読み物,菊田みちよ,0000591,ポプラ社,42723633,ティンクル・セボンスター,,20221214,1121,
9784591175514,おかあさんといっしょ　おうたで　わーい！,,1076,16,0015,0001,0001,書籍,児童書,しかけ絵本,しかけ絵本,音のでる絵本,,0000591,ポプラ社,43380292,おかあさんといっしょ　おうたで　わーい！,,20221209,4414,
9784591175866,かいけつゾロリの　あたまがよくなるボードゲームＢＯＸ,,1076,16,0091,0001,0008,書籍,児童書,グッズ,グッズ,その他ゲーム,原ゆたか,0000591,ポプラ社,43380293,かいけつゾロリの　あたまがよくなるボードゲームＢＯＸ,［バラエティ］,20221209,1483,
