,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SERIESNM,seriesnm_candidate
0,9784046322173,ジュニア　空想科学読本,２５,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,柳田理科雄,4,ＫＡＤＯＫＡＷＡ,42475688.0,ジュニア　空想科学読本,角川つばさ文庫,20221214,2628,,
1,9784041125694,きょうりゅうかくれんぼ,,1076,16,7,4,1,書籍,児童書,絵本,さがしもの絵本,さがしもの絵本,聞かせ屋。けいたろう,4,ＫＡＤＯＫＡＷＡ,43360531.0,きょうりゅうかくれんぼ,,20221004,8029,,
2,9784577051061,ブンブーン！バイキンメカ,,1076,16,21,1,1,書籍,児童書,キャラクター絵本,キャラクター絵本,アンパンマン,やなせたかし,577,フレーベル館,43376238.0,ブンブーン！バイキンメカ,［バラエティ］　アンパンマンタイヤえほん,20221021,1078,アンパンマンタイヤえほん,
3,9784577051054,ゴーゴー！アンパンマンごう,,1076,16,21,1,1,書籍,児童書,キャラクター絵本,キャラクター絵本,アンパンマン,やなせたかし,577,フレーベル館,43365400.0,アンパンマンタイヤえほん,［バラエティ］　アンパンマンタイヤえほん,20221021,2108,アンパンマンタイヤえほん,
4,9784865492873,はたらくくるま,,1076,16,11,2,1,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,伊藤アキラ,86549,ひさかたチャイルド,43373876.0,はたらくくるま,,20221215,1061,,
5,9784092592117,ドラえもん探究ワールド　ねむりと夢のふしぎ,,1076,16,71,1,21,書籍,児童書,学習百科,学習百科,ドラえもんの学習シリ－ズ,藤子・Ｆ・不二雄,9,小学館,43383706.0,ドラえもん探究ワールド　ねむりと夢のふしぎ,ビッグ・コロタン,20221207,4103,ビッグコロタン,
6,9784097353485,ぷしゅぷしゅの　こんにちは！,,1076,16,21,1,51,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,テレビ東京,9,小学館,43380285.0,ぷしゅぷしゅの　こんにちは！,ゆびにんぎょうえほん　シナぷしゅ,20221207,2381,シナぷしゅ,
7,9784097353492,ワンワンの　パンやさん,,1076,16,21,1,51,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,ＮＨＫエデュケーショナル,9,小学館,43380286.0,ワンワンの　パンやさん,ゆびにんぎょうえほん　いないいないばあっ！,20221207,1598,ゆびにんぎょうえほん　いないいないばあっ！,
8,9784591175651,トミカコレクション　２０２３,,1076,16,21,1,55,書籍,児童書,キャラクター絵本,キャラクター絵本,超ひみつゲット,タカラトミー,591,ポプラ社,43380018.0,トミカコレクション　２０２３,超ひみつゲット！,20221207,3380,超ひみつゲット,
9,9784591175798,ないしょの未来日記　恋愛ギライな私とフキゲンな王子様,１,1076,16,55,1,91,書籍,児童書,児童文庫,児童文庫,その他児童文庫,高杉六花,591,ポプラ社,43379932.0,ないしょの未来日記　恋愛ギライな私とフキゲンな王子様,ポプラキミノベル　創作,20221207,1396,,
