,SHOSINM
0,サキヨミ！　トラブルまみれのデート作戦！
1,チャート式解法と演習数学２＋Ｂ　新課程
2,北辰のかこもん　数学　２０２２年度中３北辰テスト過去問題集
3,ぜったいバレちゃいけません！！！　ハッピーエンドはゆずれない！
4,氷の上のプリンセス　シニア編
5,スイッチ！　大キライなはずなのに！？
6,イケメン王子×４は、地味子ちゃんを溺愛したい。　ヒミツの甘々カップル誕生編
7,頭がよくなる！　はじめての寝るまえ１分おんどく
8,ウタイテ！　目指せ、ファンイベント開催！　ヒミツの特訓は溺愛のはじまり
9,サバイバー！！　アテンション、敵のアジトから生還せよ！
10,ほのぼの　どうぶつ　３５ピース
11,海色ダイアリー〜五つ子アイドルと五河の夢〜
12,はらぺこあおむしのエリック・カールと学ぼう　これだけは知っておきたい　こども図鑑
13,ぜったいに　かいちゃダメ？　ラリーのらくがきちょう
14,ひろがるスカイ！プリキュア　ミニパレットぬりえ
15,おチビがうちにやってきた！　動物園で事件！あらたな能力児、あらわる！？
16,先生は教えてくれない！クレヨンしんちゃんの折れない心をつくる本
17,星のカービィ　プププヒーロー　プププランド最大の事件！！編
18,メイクアップぬりえ　キュートポップコレクション
19,ぺんたと小春のめんどいまちがいさがし　ＢＩＧ
20,じんせいさいしょの
21,四字熟語がわかる　ドラえもんの国語おもしろ攻略
22,学研の科学　大図鑑プロジェクター　世界とつながるほんもの体験キット
23,たのしくあそぼう！どうぶつシールブック
24,ポケモンずかんドリル　小学３年生　かけ算・わり算
25,小説　魔入りました！入間くん　問題児でいこうぜ
26,きみのこころをつよくする　えほん
27,こうじのくるま　たのしいしかけえほん
28,いつか、眠りにつく日
29,るるぶマンガとクイズで楽しく学ぶ！日本の歴史人物伝
30,新装版　ようちえんのせんせいがえらんだ　たのしいどうようえほん
31,ＴＶアニメ　ブルーロック　スペシャルトランプブック
32,大学受験案内　２０２４年度用　大学・短大・大学院総合ガイド
33,世にも奇妙な商品カタログ　取り消せるこづかい帳・生まれ変わりタマゴ他
34,ポケモンクイズパズルランド　ピカチュウたんけんたい
35,勇者たちの中学受験　わが子が本気になったとき、私の目が覚めたとき
36,小説　ゆずのどうぶつカルテ　こちら　わんニャンどうぶつ病院
37,九死一生ゲーム　都庁パニック！東京の未来を救え
38,おさるのジョージ　ちがうのどれだ？
39,新装版　どうぶつえあわせ　ぴったりカード
40,ディズニーガールズと　いっしょに　おふろで　あいうえお　アルファベットひょうつき
41,絶望鬼ごっこ　街をむしばむ地獄計画
42,すずのまたたびデイズ　テレビ局で事件発生！？
43,転生したらスライムだった件　転生　漢字ドリル
44,星のカービィ　プププナゾトレブック
45,るるぶ　歴史人物かるた
46,ひらめきゲット！　Ｌｅｔ’ｓ　ポケなぞ！！
47,おかあさんといっしょ　おうたで　わーい！
48,青星学園★チームＥＹＥーＳの事件ノート　〜お姫さまは恋なんてしない！？　レオと約束のドレス〜
49,放課後★七不思議！　イケメンたちが優結を救う！？涙と笑顔のハッピーエンド
50,ちびちびうさまる　くまさんといっしょ
51,名探偵コナンの探究ファイル　小学生のうちに知っておきたい世界のこと
52,ポケットモンスター　クイズ＆おあそびＢＯＯＫ
53,みがいてあげる
54,しりながおばけ
55,探偵ハイネは予言をはずさない　デートタイム・ミステリー
56,ドラえもん社会ワールド　社会が楽しくなる！　都市とまちづくりの未来
57,音と光のでる絵本　スイッチくるくる
58,青星学園★チームＥＹＥーＳの事件ノート　翔太の熱い体育祭！ハチマキにこめた気持ち
59,マインクラフトさんすう・プログラミング学習ドリル　マインクラフトで冒険しながら理数系が学べる学習ドリ
60,花とつぼみと、きみのこと。　だいじな想いの咲かせかた
61,ナゾトキ・ハンター　ヒマラヤを守る猿の王
62,それでもがんばる！　どんまいないきもの図鑑ＤＸ
63,まいにち１分学習おんどく３６６　みるみる成績アップ！
64,山川詳説日本史図録　『詳説日本史』（日探７０５）準拠
65,すみっコぐらしをさがせ　あつまるとあんしんです編
66,ゆめみる　おひめさま図鑑
67,大迫力！戦慄の都市伝説大百科
68,ひろがるスカイ！プリキュアスマホがたおしゃべりえほん
69,小説　魔入りました！入間くん　アクドルくろむちゃんとアメリの決断
70,ポケモンずかんドリル　小学１年生　たしざん・ひきざん
71,うちゅう
72,日本のスゴイいきもの図鑑　海、山、川、街ｅｔｃ．で懸命に生きる固有種の話
73,ゆるゆる昆虫図鑑
74,５分後に意外な結末ｅｘ　亜麻色の糸で紡がれた物語
75,きみも運転手になれる！　パノラマずかん　運転席
76,タッチペンでいっぱいあそべる！まいにちのことばずかん１５００　英語つき
77,かぼちゃスープのおふろ
78,ドラゴンドリル　小４漢字のまき　どんどん進めたくなる！めざせ！小４の漢字マスター
79,ほねほねザウルス　パーフェクト図鑑
80,関正生の英文法ポラリス　基礎レベル０
81,ドラえもん探究ワールド　縄文も古墳も！　びっくり先史時代
82,ごみしゅうしゅうしゃの　ぽいすけくん
83,がっこうのおばけずかん　おちこくさま
84,新装版　のりものえあわせ　ぴったりカード
85,おもしろい話、集めました。Ｎ
86,どうか、キミの笑顔にもう一度会えますように。
87,まじょねこマーニャ　まほうのゆびわ
88,マンガ・クイズつき『桃太郎電鉄』で学ぶお金・経済のしくみ攻略
89,やぎさんのさんぽ
90,ちいかわえほん　サク　モグ　ごくん
91,どこ　どこ？　ねどこ
92,かいけつゾロリ　きょうりゅうママをすくえ！
93,なりたいアナタにプロデュース。　あたしのスキは、キミにきめた！
94,大迫力！日本の地獄大百科
95,迷宮教室　裏切りの「友達処刑ゲーム」
96,星のカービィ　刹那の見斬りで悪を断て！
97,生き残りゲーム　ラストサバイバル　かせぐが勝ちの学園生活！　サバイバルポイント
98,おもしろい話、集めました。Ｗ
99,やばい、可愛すぎ。
100,科学探偵　ｖｓ．超・自然現象（後）
101,都会－まち－のトム＆ソーヤ　トムｖｓ．ソーヤ
102,ひろがるスカイ！プリキュア　きせかえマグネットえほん
103,東大王からの挑戦！　めざせ子ども東大王　最強クイズ
104,ミオととなりのマーメイド　つながる心でラストマジック！
105,歴史ゴーストバスターズ　おまもりのクシと二人のきずな
106,きみと１００年分の恋をしよう　きみと歩く未来
107,物理重要問題集物理基礎・物理　実戦２０２３
108,頂上決戦！異種最強生物　オールスター大決戦
109,ドラゴンドリル　都道府県のまき　どんどん進めたくなる！めざせ！都道府県マスター　学
110,４〜６歳　ひらがな
111,小学生のうちに覚えておくといいことカルタ
112,プリキュアオールスターズ　さがして！プリキュア
113,ふたごチャレンジ！　ココロ揺らめく遊園地！？
114,英単語ターゲット１９００　Ｂｒｉｇｈｔ　２０２３
115,二条くんはわたしの執事　ダンスパーティーで運命の告白！？
116,共通テスト予想問題パック　２０２３年用
117,青鬼　調査クラブ　怪物を従えた少女と激突せよ！
118,天宮家の王子さま　メイドのわたしのバレンタイン計画！
119,ヴァンパイア・溺愛パラダイス
120,ねこさんのってくださーい　ワクワクがめばえる
121,北辰のかこもん　国語　２０２２年度中３北辰テスト過去問題集
122,花
123,ちいリベ　クリアファイルブック
124,超復刻版　タローマンかるた
125,プリキュアオールスターズプリキュアいっぱいミニずかん
126,キャラぱふぇブックス　ちいかわ　なぞなぞブック
127,戦国姫　徳川家康と運命の姫君たち　於大の方、瀬名姫ほか
128,きみがいるからおもしろい　こんなこいるかな
129,告白したのは、君だから。　かんちがいから始まるホントの恋
130,マインクラフト３つの試練
131,パウ・パトロールをさがせ！
132,学習ドリル　マインクラフトで学ぶプログラミング　小学３・４年
133,図解大事典　ドラゴン
134,ティンクル・セボンスター　アンナと宝石の国の女王様
135,いちねんじゅうおばけずかん　ハロウィンかぼちゃん
136,じゃがりこバスボール　りんごのかおり
137,虹の島のお手紙つき　アメジスト編　大切な気持ち
138,絶望鬼ごっこ　街をとりもどす地獄革命
139,いちねんせいえほん　はじめての「よのなかルールブック」
140,エトワール！　コンテの世界へようこそ！
141,迷宮教室　正解不可能！？　親友をぜったいきらいになるクイズ
142,小学館世界Ｊ文学館
143,ポケモンずかんドリル　小学２年生　かん字
144,いちじくのはなし
145,はたらくくるま
146,すごすぎる天気の図鑑　雲の超図鑑
147,めくってあそぼう！しかけえほん　シナぷしゅ
148,アニメおさるのジョージ　わくわく　ドキドキ　すごろく
149,きゅん恋？あこがれ両想い　５つ
