,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM,SERIESNM_shoshi,SERIESNM_sikiriban,SERIESNM_sosho,SERIESNM_sublabel,seriesnm_candidate_shoshi,seriesnm_candidate_sikiriban,seriesnm_candidate_sosho
0,9784023322226,徳川家康へタイムワープ　？！歴史漫画タイムワープシリーズ,,1076,16,71,5,91,書籍,児童書,学習百科,学習漫画,その他学習漫画,ＴＡＫ．Ｂｒｏ,2,朝日新聞出版,43376613,徳川家康へタイムワープ　？！歴史漫画タイムワープシリーズ,歴史人物ＢＯＯＫ,20221118,1515,歴史漫画タイムワープシリーズ,歴史漫画タイムワープシリーズ,歴史漫画タイムワープシリーズ,,,歴史漫画タイムワープシリーズ,歴史漫画タイムワープシリーズ,歴史漫画タイムワープシリーズ,ワクワク知育ＢＯＯＫ
1,9784023322141,トンネルのサバイバル,,1076,16,71,5,21,書籍,児童書,学習百科,学習漫画,サバイバルシリーズ,パク・ソンイ,2,朝日新聞出版,43366736,トンネルのサバイバル,かがくるＢＯＯＫ　科学漫画サバイバルシリーズ　８０,20221007,17125,科学漫画サバイバルシリーズ８０,サバイバルシリーズ,,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ
2,9784023322158,テーマパークのサバイバル,,1076,16,71,5,21,書籍,児童書,学習百科,学習漫画,サバイバルシリーズ,ポドアルチング,2,朝日新聞出版,43380283,テーマパークのサバイバル,かがくるＢＯＯＫ　科学漫画サバイバルシリーズ　８１,20221207,23076,科学漫画サバイバルシリーズ８１,サバイバルシリーズ,,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ,サバイバルシリーズ
3,9784023333772,きらきら　ぴかぴか,,1076,16,11,2,1,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,瀧靖之,2,朝日新聞出版,43369774,きらきら　ぴかぴか,脳科学にもとづいた知育絵本,20221020,7306,脳科学にもとづいた知育絵本,脳科学にもとづいた知育絵本,,,脳科学にもとづいた知育絵本,脳科学にもとづいた知育絵本,,,脳科学にもとづいた知育絵本
4,9784023322080,実験対決　火山の対決　学校勝ちぬき戦　実験対決シリーズ　明日は実験王,４３,1076,16,71,5,21,書籍,児童書,学習百科,学習漫画,サバイバルシリーズ,ストーリーａ．,2,朝日新聞出版,42202145,実験対決,かがくるＢＯＯＫ,20221118,1000,,サバイバルシリーズ,,サバイバルシリーズ,かがくるＢＯＯＫ,,サバイバルシリーズ,サバイバルシリーズ,かがくるＢＯＯＫ
5,9784031271905,すうじのかくれんぼ,,1076,16,15,1,21,書籍,児童書,しかけ絵本,しかけ絵本,しかけ絵本,いしかわこうじ,3,偕成社,43370935,すうじのかくれんぼ,あっ！とおどろくしかけえほん,20221205,1172,,あっ！とおどろくしかけえほん,,,あっ！とおどろくしかけえほん,,,木村裕一しかけ絵本,あっ！とおどろくしかけえほん
6,9784041126547,どっちが強い！？Ａ　ロボットで入学試験！？,１,1076,16,71,5,31,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,スライウム,4,ＫＡＤＯＫＡＷＡ,43369333,どっちが強い！？Ａ,,20221116,3519,,どっちが強い！？シリーズ,,どっちが強い！？シリーズ,,,どっちが強い！？シリーズ,どっちが強い！？シリーズ,
7,9784041127742,どっちが強い！？ガチンコ動物オリンピック編　なんでもＮｏ．１決定戦,,1076,16,71,5,31,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,ブラックインクチーム,4,ＫＡＤＯＫＡＷＡ,43369402,どっちが強い！？ガチンコ動物オリンピック編　なんでもＮｏ．１決定戦,角川まんが学習シリーズ,20221130,9083,,どっちが強い！？シリーズ,,どっちが強い！？シリーズ,角川まんが学習シリーズ,,どっちが強い！？シリーズ,どっちが強い！？シリーズ,角川まんが学習シリーズ
8,9784041122914,どっちが強い！？　ピットブルｖｓオオヤマネコ　豪華客船でイヌネコ対決,,1076,16,71,5,31,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,ジノ,4,ＫＡＤＯＫＡＷＡ,43377192,どっちが強い！？　ピットブルｖｓオオヤマネコ　豪華客船でイヌネコ対決,角川まんが学習シリーズ,20221214,9239,,どっちが強い！？シリーズ,,どっちが強い！？シリーズ,角川まんが学習シリーズ,,どっちが強い！？シリーズ,どっちが強い！？シリーズ,角川まんが学習シリーズ
9,9784041126554,どっちが強い！？Ａ　無人島でロボバトル！,２,1076,16,71,5,31,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,レッドコード,4,ＫＡＤＯＫＡＷＡ,43369333,どっちが強い！？Ａ,,20221116,2906,,どっちが強い！？シリーズ,,どっちが強い！？シリーズ,,,どっちが強い！？シリーズ,どっちが強い！？シリーズ,
