,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
0,9784813780052,1,総長さま、溺愛中につき。　転校先は、最強男子だらけ,総長さま、溺愛中につき。　,１,総長さま、溺愛中につき。,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,＊あいら＊,野いちごジュニア文庫
2,9784813780113,1,総長さま、溺愛中につき。　生徒会加入は波乱の幕開け,総長さま、溺愛中につき。　,２,総長さま、溺愛中につき。,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,＊あいら＊,野いちごジュニア文庫
3,9784813780199,1,総長さま、溺愛中につき。　クールな総長の甘い告白,総長さま、溺愛中につき。　,３,総長さま、溺愛中につき。,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,＊あいら＊,野いちごジュニア文庫
9,9784813780298,1,総長さま、溺愛中につき。　暴走レベルの危険な独占欲,総長さま、溺愛中につき。　,４,総長さま、溺愛中につき。,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,＊あいら＊,野いちごジュニア文庫
18,9784813780434,1,総長さま、溺愛中につき。　最強男子の愛は永遠に,総長さま、溺愛中につき。　,５,総長さま、溺愛中につき。,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,＊あいら＊,野いちごジュニア文庫
52,9784591170397,2,星の王子さま,王子さま,,星の王子さま,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,サン・テグジュペリ,ポプラキミノベル　名作
423,9784652070116,2,ぼくは王さま,王子さま,,ぼくは王さま,児童書,児童文庫,児童文庫,フォア文庫,理論社,寺村輝夫,フォア文庫
156,9784813780458,2,溺愛王子さま！　超売れっ子アイドルと地味子の愛され学園生活スタート！？,王子さま,１,溺愛王子さま！　超売れっ子アイドルと地味子の愛され学園生活スタート！？,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,みなと,野いちごジュニア文庫
767,9784652074411,3,王さまちびっこおばけ,王さま,,王さまちびっこおばけ,児童書,児童文庫,児童文庫,フォア文庫,理論社,寺村輝夫,フォア文庫
706,9784652074114,3,王さまびっくり,王さま,,王さまびっくり,児童書,児童文庫,児童文庫,フォア文庫,理論社,寺村輝夫,
617,9784652074541,3,王さまゆめのひまわり,王さま,,王さまゆめのひまわり,児童書,児童文庫,児童文庫,フォア文庫,理論社,寺村輝夫,フォア文庫
677,9784652074701,4,王さま魔法ゲーム,王さま,,王さま魔法ゲーム,児童書,児童文庫,児童文庫,フォア文庫,理論社,寺村輝夫,フォア文庫
797,9784652074442,4,王さまたんじょうパーティ,王さま,,王さまたんじょうパーティ,児童書,児童文庫,児童文庫,フォア文庫,理論社,寺村輝夫,フォア文庫
