,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
447,9784591085684,1,ズッコケ三人組のバック・トゥ・ザ・フューチャー,ズッコケ三人組の,,ズッコケ三人組のバック・トゥ・ザ・フューチャー,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
29,9784591010136,1,それいけズッコケ三人組,ズッコケ三人組の,,それいけズッコケ三人組,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
406,9784591062081,1,ズッコケ三人組のミステリーツアー,ズッコケ三人組の,,ズッコケ三人組のミステリーツアー,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
394,9784591055410,1,ズッコケ三人組対怪盗Ｘ,ズッコケ三人組の,,ズッコケ三人組対怪盗Ｘ,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
491,9784591042793,1,ズッコケ三人組の推理教室,ズッコケ三人組の,,ズッコケ三人組の推理教室,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
494,9784591064863,1,ズッコケ三人組と学校の怪談,ズッコケ三人組の,,ズッコケ三人組と学校の怪談,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
371,9784591058503,1,ズッコケ三人組の大運動会,ズッコケ三人組の,,ズッコケ三人組の大運動会,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
348,9784591085783,1,ズッコケ三人組の卒業式,ズッコケ三人組の,,ズッコケ三人組の卒業式,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
403,9784591054451,1,ズッコケ三人組の未来報告,ズッコケ三人組の,,ズッコケ三人組の未来報告,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
532,9784591072820,1,ズッコケ三人組と死神人形,ズッコケ三人組の,,ズッコケ三人組と死神人形,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
567,9784591085745,1,ズッコケ三人組の地底王国,ズッコケ三人組の,,ズッコケ三人組の地底王国,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
459,9784591074169,1,ズッコケ三人組ハワイに行く,ズッコケ三人組の,,ズッコケ三人組ハワイに行く,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
634,9784591070291,1,ズッコケ三人組の神様体験,ズッコケ三人組の,,ズッコケ三人組の神様体験,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
554,9784591077467,1,ズッコケ三人組のダイエット講座,ズッコケ三人組の,,ズッコケ三人組のダイエット講座,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
601,9784591088739,2,うさぎのモコ,のズッコケ,,うさぎのモコ,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,神沢利子,ポプラポケット文庫
527,9784591027189,2,花のズッコケ児童会長,のズッコケ,,花のズッコケ児童会長,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
199,9784591028759,2,うわさのズッコケ株式会社,のズッコケ,,うわさのズッコケ株式会社,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
503,9784591085721,3,ズッコケ怪盗Ｘ最後の戦い,ズッコケ怪盗Ｘ,,ズッコケ怪盗Ｘ最後の戦い,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,那須正幹,ポプラ社文庫
