,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
120,9784092308220,1,まじっく快斗１４１２,まじっく快斗１４１２,６,まじっく快斗１４１２,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,浜崎達也,小学館ジュニア文庫
126,9784092308213,1,まじっく快斗１４１２,まじっく快斗１４１２,５,まじっく快斗１４１２,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,浜崎達也,小学館ジュニア文庫
71,9784092307896,1,まじっく快斗１４１２,まじっく快斗１４１２,１,まじっく快斗１４１２,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,浜崎達也,小学館ジュニア文庫
87,9784092307926,1,まじっく快斗１４１２,まじっく快斗１４１２,２,まじっく快斗１４１２,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,浜崎達也,小学館ジュニア文庫
104,9784092308138,1,まじっく快斗１４１２,まじっく快斗１４１２,３,まじっく快斗１４１２,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,浜崎達也,小学館ジュニア文庫
121,9784092308169,1,まじっく快斗１４１２,まじっく快斗１４１２,４,まじっく快斗１４１２,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,浜崎達也,小学館ジュニア文庫
379,9784092897205,2,いじめ　もう涙はいらない,いじめ　,,いじめ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,五十嵐かおる,ちゃおノベルズ
73,9784092313361,2,いじめ　女王のいる教室,いじめ　,,いじめ　女王のいる教室,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニア文庫
202,9784092311923,2,いじめ　１４歳のＭｅｓｓａｇｅ,いじめ　,,いじめ　１４歳のＭｅｓｓａｇｅ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,林慧樹,小学館ジュニア文庫
409,9784092895539,3,いじめ－負けない勇気－,いじめ－,,いじめ－負けない勇気－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,五十嵐かおる,ちゃおノベルズ
316,9784092308336,3,いじめ－行き止まりの季節－,いじめ－,,いじめ－行き止まりの季節－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニア文庫
261,9784092308688,3,いじめ－闇からの歌声－,いじめ－,,いじめ－闇からの歌声－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニア文庫
266,9784092311398,3,いじめ－勇気の翼－,いじめ－,,いじめ－勇気の翼－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニア文庫
303,9784092307957,3,いじめ－友だちという鎖－,いじめ－,,いじめ－友だちという鎖－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニア文庫
269,9784092307322,3,いじめ－学校という名の戦場－,いじめ－,,いじめ－学校という名の戦場－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニアシネマ文庫
431,9784092895690,3,いじめ－残酷な放課後－,いじめ－,,いじめ－残酷な放課後－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,都築奈央,ちゃおノベルズ
253,9784092312272,3,いじめ－希望の歌を歌おう－,いじめ－,,いじめ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニア文庫
280,9784092307513,3,いじめ－うつろな絆－,いじめ－,,いじめ－うつろな絆－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニア文庫
439,9784092895638,3,いじめ－明日へのキズナ－,いじめ－,,いじめ－明日へのキズナ－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,村上アンズ,ちゃおノベルズ
283,9784092307360,3,いじめ－引き裂かれた友情－,いじめ－,,いじめ－引き裂かれた友情－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニア文庫
300,9784092307438,3,いじめ－過去へのエール－,いじめ－,,いじめ－過去へのエール－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニア文庫
290,9784092307247,3,いじめ－いつわりの楽園－,いじめ－,,いじめ－いつわりの楽園－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,武内昌美,小学館ジュニア文庫
196,9784092313774,4,１話３分　こわい家、あります。　くらやみくんのブラックリスト,１話３分　こわい家、あります。　くらやみくんのブラックリスト,３,１話３分　こわい家、あります。　くらやみくんのブラックリスト,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藍沢羽衣,小学館ジュニア文庫
143,9784092313422,4,１話３分　こわい家、あります。　くらやみくんのブラックリスト,１話３分　こわい家、あります。　くらやみくんのブラックリスト,２,１話３分　こわい家、あります。　くらやみくんのブラックリスト,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藍沢羽衣,小学館ジュニア文庫
181,9784092313033,4,１話３分　こわい家、あります。　くらやみくんのブラックリスト,１話３分　こわい家、あります。　くらやみくんのブラックリスト,,１話３分　こわい家、あります。　くらやみくんのブラックリスト,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藍沢羽衣,小学館ジュニア文庫
404,9784092312227,5,おいでよ、花まる寮！,,,おいでよ、まかい寮！,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宇津田晴,小学館ジュニア文庫
433,9784092308480,6,九丁目の呪い花屋,,,九丁目の呪い花屋,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,小川彗,小学館ジュニア文庫
115,9784092307568,7,天国の犬ものがたり～わすれないで～,天国の犬ものがたり～,,天国の犬ものがたり～わすれないで～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤咲あゆな,小学館ジュニア文庫
103,9784092312005,7,天国の犬ものがたり～僕の魔法～,天国の犬ものがたり～,,天国の犬ものがたり～僕の魔法～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤咲あゆな,小学館ジュニア文庫
99,9784092307469,7,天国の犬ものがたり～ずっと一緒～,天国の犬ものがたり～,,天国の犬ものがたり～ずっと一緒～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤咲あゆな,小学館ジュニア文庫
109,9784092308985,7,天国の犬ものがたり～ありがとう～,天国の犬ものがたり～,,天国の犬ものがたり～ありがとう～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤咲あゆな,小学館ジュニア文庫
54,9784092313811,7,天国の犬ものがたり　いつも一緒,天国の犬ものがたり～,,天国の犬ものがたり　いつも一緒,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤咲あゆな,小学館ジュニア文庫
96,9784092313002,7,天国の犬ものがたり～扉のむこう～,天国の犬ものがたり～,,天国の犬ものがたり～扉のむこう～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤咲あゆな,小学館ジュニア文庫
60,9784092313521,7,天国の犬ものがたり～ＨＯＭＥ　ホーム～,天国の犬ものがたり～,,天国の犬ものがたり～ＨＯＭＥ　ホーム～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤咲あゆな,小学館ジュニア文庫
67,9784092312753,7,天国の犬ものがたり～はじめまして～,天国の犬ものがたり～,,天国の犬ものがたり～はじめまして～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤咲あゆな,小学館ジュニア文庫
124,9784092307841,7,天国の犬ものがたり～未来～,天国の犬ものがたり～,,天国の犬ものがたり～未来～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤咲あゆな,小学館ジュニア文庫
128,9784092312357,7,天国の犬ものがたり～笑顔をあげに～,天国の犬ものがたり～,,天国の犬ものがたり～笑顔をあげに～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤咲あゆな,小学館ジュニア文庫
