,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
480,9784083210983,1,ＯＮＥ　ＰＩＥＣＥ　ＴＨＥ　ＭＯＶＩＥ　デッドエンドの冒険＜みらい文庫版＞,ＯＮＥ　ＰＩＥＣＥ　ＴＨＥ　ＭＯＶＩＥ　,,ＯＮＥ　ＰＩＥＣＥ　ＴＨＥ　ＭＯＶＩＥ　デッドエンドの冒険＜みらい文庫版＞,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,浜崎達也,集英社みらい文庫
511,9784083211782,1,ＯＮＥ　ＰＩＥＣＥ　ＴＨＥ　ＭＯＶＩＥ　オマツリ男爵と秘密の島＜みらい文庫版＞,ＯＮＥ　ＰＩＥＣＥ　ＴＨＥ　ＭＯＶＩＥ　,,ＯＮＥ　ＰＩＥＣＥ　ＴＨＥ　ＭＯＶＩＥ　オマツリ男爵と秘密の島＜みらい文庫版＞,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,浜崎達也,集英社みらい文庫
522,9784083211461,1,ＯＮＥ　ＰＩＥＣＥ　ＴＨＥ　ＭＯＶＩＥ　カラクリ城のメカ巨兵＜みらい文庫版＞,ＯＮＥ　ＰＩＥＣＥ　ＴＨＥ　ＭＯＶＩＥ　,,ＯＮＥ　ＰＩＥＣＥ　ＴＨＥ　ＭＯＶＩＥ　カラクリ城のメカ巨兵＜みらい文庫版＞,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,浜崎達也,集英社みらい文庫
154,9784083215223,1,ＯＮＥ　ＰＩＥＣＥ　ＳＴＡＭＰＥＤＥ＜劇場版・みらい文庫版＞　ノベライズ,ＯＮＥ　ＰＩＥＣＥ　ＴＨＥ　ＭＯＶＩＥ　,,ＯＮＥ　ＰＩＥＣＥ　ＳＴＡＭＰＥＤＥ＜劇場版・みらい文庫版＞　ノベライズ,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,志田もちたろう,集英社みらい文庫
471,9784083210020,2,ＯＮＥ　ＰＩＥＣＥ　ローグタウン編＜みらい文庫版＞,ＯＮＥ　ＰＩＥＣＥ　エピソード　オブ　,,ワンピース　ローグタウン編＜みらい文庫版＞,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,浜崎達也,集英社みらい文庫
419,9784083211980,2,ＯＮＥ　ＰＩＥＣＥ最強でサイコーの名言集　ＳＴＲＯＮＧ　ＷＯＲＤＳ＜みらい文庫版＞,ＯＮＥ　ＰＩＥＣＥ　エピソード　オブ　,,ＯＮＥ　ＰＩＥＣＥ最強でサイコーの名言集　ＳＴＲＯＮＧ　ＷＯＲＤＳ＜みらい文庫版＞,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,尾田栄一郎,集英社みらい文庫
468,9784083212383,2,ＯＮＥ　ＰＩＥＣＥ　エピソード　オブ　チョッパー　冬に咲く、奇跡の桜＜みらい文庫版＞,ＯＮＥ　ＰＩＥＣＥ　エピソード　オブ　,,ＯＮＥ　ＰＩＥＣＥ　エピソード　オブ　チョッパー　冬に咲く、奇跡の桜＜みらい文庫版＞,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,浜崎達也,集英社みらい文庫
442,9784083212185,2,ＯＮＥ　ＰＩＥＣＥ　エピソード　オブ　アラバスタ　砂漠の王女と海賊たち＜みらい文庫版＞,ＯＮＥ　ＰＩＥＣＥ　エピソード　オブ　,,ＯＮＥ　ＰＩＥＣＥ　エピソード　オブ　アラバスタ　砂漠の王女と海賊たち＜みらい文庫版＞,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,浜崎達也,集英社みらい文庫
501,9784083210747,3,ＯＮＥ　ＰＩＥＣＥ　ねじまき島の冒険,ＯＮＥ　ＰＩＥＣＥ　,,ＯＮＥ　ＰＩＥＣＥ　ねじまき島の冒険,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,浜崎達也,集英社みらい文庫
541,9784083211195,3,ＯＮＥ　ＰＩＥＣＥ　呪われた聖剣＜みらい文庫版＞,ＯＮＥ　ＰＩＥＣＥ　,,ＯＮＥ　ＰＩＥＣＥ　呪われた聖剣＜みらい文庫版＞,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,浜崎達也,集英社みらい文庫
